;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
EVTOPTC91355;Ò²ĞíÎÒ¿ÉÒÔÇóÓÚ [From.GetHerHis] Ì°À·µÄÒ»Ãæ...;Peut-être pourrai-je faire appel ?son côt?cupide...;Vielleicht nützt mir [From.GetHerHis] Gier ...;;Tal fez puedo atraer a [From.GetHerHis] lado codicioso;;;;;;;;;x
tribal_organization_0_desc;µÍ×éÖ¯Ê±,²¿Âä¶Ô·â³¼¼¸ºõÃ»ÓĞÈÎºÎ¿ØÖÆ.;En raison de cette faible organisation, les chefs ont peu de contrôle sur leurs vassaux.;Bei geringer Organisation sind die Häuptlinge beinahe machtlos gegenüber ihren Vasallen.;;Con una baja organización, los jefes no tienen apenas control sobre sus vasallos.;;;;;;;;;x
tribal_organization_1_desc;Çõ³¤¶Ô·â³¼ÓĞÉÙĞí¿ØÖÆ.;Les chefs ont un pouvoir limit?sur leurs vassaux.;Häuptlinge haben beschränkte Macht über ihre Vasallen.;;Los jefes tienen un poder limitado sobre sus vasallos.;;;;;;;;;x
tribal_organization_2_desc;·â³¼ÓëÇõ³¤µÄÈ¨Àû´óÖÂÆ½ºâ;La répartition des pouvoirs entre les vassaux et leur chef est relativement équilibrée.;Die Macht von Vasallen und Häuptlings-Lehnsherrn ist einigermaßen ausgeglichen.;;El poder de los vasallos y el de los señores feudales están equilibrados.;;;;;;;;;x
tribal_organization_3_desc;Çõ³¤¶Ô·â³¼ÓĞÈ¨Íş;Les chefs gagnent de l'influence sur leurs vassaux.;Die Macht der Häuptlinge über ihre Vasallen nimmt zu.;;Los jefes están ganando poder sobre sus vasallos.;;;;;;;;;x
tribal_organization_4_desc;Çõ³¤Í¨¹ıÀàËÆ·â½¨µÄ·½Ê½¿ØÖÆ×Å·â³¼;Les chefs ont le contrôle de leurs vassaux avec des lois comparables ?celles des seigneurs féodaux.;Häuptlinge kontrollieren ihre Vasallen mit Gesetzen, die jenen der feudalen Fürsten gleichen.;;Los jefes tienen control sobre sus vasallos, con leyes parecidas a las de los señores feudales.;;;;;;;;;x
;#adopt_feudalism;Adopt Feudalism;;Feudalsystem einf¨¹hren;;Adoptar de ser Feudal;;;;;;;;;x;
adopt_republicanism;½¨Á¢ÉÌÒµ¹²ºÍ¹ú;Fonder une république marchande;Handelsrepublik gründen;;Fundar una República Mercante;;;;;;;;;x
;#adopt_feudalism_desc;I can choose to leave behind my tribal way of life and become a Feudal ruler.;;Ich kann meine Stammestradition hinter mir lassen und ein feudaler Herrscher werden.;;Puedo escoger abandonar mi estilo de vida tribal y convertirme en un gobernante Feudal.;;;;;;;;;x;
;#adopt_republicanism_desc;I can choose to leave behind my tribal way of life and found a Merchant Republic.;;Ich kann meine Stammestradition hinter mir lassen und eine Handelsrepublik gr¨¹nden.;; Puedo escoger abandonar mi estilo de vida tribal y fundar una Rep¨²blica Mercante.;;;;;;;;;x;
;#adopt_feudalism_tooltip_1;Government changed to Feudal.\n;;Die Regierungsform wurde zu Feudalherrschaft ge?ndert.\n;;El gobierno ha cambiado a Feudal.\n;;;;;;;;;x;
;#adopt_feudalism_tooltip_2;Any tribal settlement with a fully upgraded §YHillfort§! is upgraded to a castle.;;Jede Stammessiedlung mit voll ausgebauter §YH¨¹gelfestung? wird zur Burg aufgewertet.;;Cualquier asentamiento tribal con un §Ycastro? plenamente desarrollado, asciende a castillo.;;;;;;;;;x;
;#adopt_republicanism_tooltip_1;Government changed to Merchant Republic.\n;;Die Regierungsform wurde zu Handelsrepublik umgewandelt.\n;;El gobierno cambi¨® a Rep¨²blica Mercante.\n? ? ?;;;;;;;;;x;
;#adopt_republicanism_tooltip_2;Any tribal settlement with a fully upgraded §YMarket Town§! is upgraded to a city.;;Jede Stammessiedlung mit voll ausgebautem §YMarktst?dtchen? wird zur Stadt aufgewertet.;;Cualquier asentamiento tribal con una §YCiudad Comercial? plenamente desarrollada, asciende a metr¨®poli.;;;;;;;;;x;
form_new_kingdom_requirement_tooltip;ÓµÓĞ3¸ö¹«¹úÍ·ÏÎ\n;Détient 3 titres de duché\n;Besitzt 3 Herzogtitel\n;;Sustentar 3 títulos de ducados\n;;;;;;;;;x
form_new_empire_requirement_tooltip;ÓµÓĞ3¸öÍõ¹úÍ·ÏÎ\n;Détient 3 titres de royaume\n;Besitzt 3 Königstitel\n;;Sustentar 3 títulos de reinos\n;;;;;;;;;x
EVTDESC8027;"³¤¾ÃÒÔÀ´,Äã±»ÏŞÖÆ×Å×ÔÓÉÓë×Ô¹ÅÒÔÀ´ÏíÓĞµÄÈ¨Àû. ÏÖÔÚÊÇÊ±ºò½µµÍ²¿Âä×éÖ¯ÁË. Äã±ØĞëºÍÆ½½ÓÊÜ,·ñÔò×ÔÊ³Æä¹û! ·ÅĞÄ, ÎÒÓĞĞí¶àÓµÓĞÍ¬ÑùÏë·¨µÄÈËÖ§³ÖÎÒ, ÈÏÎªÎÒÃÇÓ¦¸Ã»Ö¸´×ÔÈ»ÖÈĞò..\n\n´ËÖÂ,\n[From.GetTitledName]";Trop longtemps vous avez limit?nos droits. Il est temps de réduire le niveau d'organisation tribale. Vous devez vous soumettre pacifiquement ?cette exigence ou en subir les conséquences? Soyez assur?que je bénéficie du soutien d'autres chefs tout aussi déterminés ?voir les choses retrouver leur ordre naturel...\n\nSign?\n[From.GetTitledName];Zu lange schon beschränkt Ihr unsere Rechte. Nun ist es an der Zeit für weniger Stammes-Organisation - fügt Euch unseren Forderungen oder Ihr werdet die Konsequenzen tragen. Seid versichert, dass ich Gleichgesinnte um mich geschart habe, die ebenfalls entschlossen sind, die Rückkehr zur natürlichen Ordnung herbeizuführen ...\n\nGezeichnet,\n[From.GetTitledName];;Has restringido nuestros derechos durante demasiado tiempo. ¡Es el momento de disminuir la Organización Tribal! Accede a esta demanda pacíficamente o asume las consecuencias. No tengas dudas de que he reunido a otros que también están disgustados...\n\nSignado,\n[From.GetTitledName];;;;;;;;;x
AIREASON_ENVIOUS;¼µ¶Ê;Envieux;Neidisch;;Envidioso;;;;;;;;;x
FE_LOAD;¶ÁÈ¡;Charger;Laden;Wczytaj;Cargar;Caricare;Betöltés;Nahrát;;;;;;x
PLAY;¿ªÊ¼;Jouer;Start;;Jugar;Gioca;;;;;;;;x
AIREASON_DOESNT_CARE;[GetTitledFirstName] ²»¹ØĞÄ;[GetTitledFirstName] ne s'en soucie guère;[GetTitledFirstName] interessiert es nicht;;[GetTitledFirstName] no se importa;;;;;;;;;x
AIREASON_KIND;ÉÆÁ¼;Bon;Gütig;;Amable;;;;;;;;;x
AIREASON_CRUEL;²Ğ¿á;Cruel;Grausam;;Cruel;;;;;;;;;x
AIREASON_JUST;Õıµ±ÀíÓÉ;Raisonnable;Gerechte Sache;;Causa justa;;;;;;;;;x
AIREASON_WROTH;·ßÅ­;Colérique;Wütend;;Enfadado;;;;;;;;;x
;#TRIBALS_CANT_BUILD_HOLDINGS;§YTribes Cannot Build new Holdings§!;;§YSt?mme k?nnen keine neuen Besitzt¨¹mer gr¨¹nden?;; Tribus No Puede Construir Nuevos Asentamientos;;;;;;;;;x;
;#TRIBALS_CANT_BUILD_HOLDINGS_DESC;Empty Holding slots actually provide more troops for Tribes. To build proper Holdings you need to become either a Feudal state or a Republic (check your Decisions.);;Leere Besitztumsfelder liefern faktisch sogar mehr Truppen f¨¹r die St?mme. Um normale Besitzt¨¹mer bauen zu k?nnen, m¨¹sst Ihr entweder ein feudaler Staat oder eine Republik werden (Men¨¹: Entscheidungen).;;Los Dominios o Propiedades vacantes pueden proporcionar m¨¢s tropas para las Tribus. Para construir Dominios apropiados, necesitas convertirte en un estado feudal o en una rep¨²blica (revisa tus Decisiones.);;;;;;;;;x;
vassal_zun_judgement_decision;ÈÃ×ğÉñÖÆ²Ã[Root.GetTitledFirstName].;Faire juger [Root.GetTitledFirstName] par Zun;Lasst Zun ein Urteil über [Root.GetTitledFirstName] fällen;; Hacer juzgar a [Root.GetTitledFirstName] por Zun;;;;;;;;;x
vassal_zun_judgement_decision_desc;ÔÚÉ³Ä®ÖĞÕÒ¸öÉî¿Ó°Ñ [Root.GetTitledFirstName] ÈÓ½øÈ¥£¬ [Root.GetSheHe] ½«»áÔÚ×ğÉñÖ®ÏÂ±©Â¶ÊıÌì£¬Ó¦¸ÃÄÜ¸ø [Root.GetSheHe] Ó¦µÃµÄ¡°ÕıÒå¡±¡£;En faisant jeter [Root.GetTitledFirstName] dans un puits au beau milieu du désert, vous [Root.GetHerHim] soumettrez au jugement de Zun pendant plusieurs jours. [Root.GetSheHeCap] recevra alors la 'justice' qu'il mérite.;Indem wir [Root.GetTitledFirstName] in einer Grube mitten in der Wüste schmachten lassen, wo er tagelang Zun ausgesetzt sein wird, dürfte ihm die 'Gerechtigkeit' zuteil werden, die er verdient.;;Habiendo arrojado a [Root.GetTitledFirstName] en un pozo en medio del desierto, estar?expuesto a Zun durante días y obtendr? más probablemente, la "justicia" que se merece.;;;;;;;;;x
EVTDESCCM15002;ÊØÎÀ½ñÌìÀ´¼ûÎÒ, ËûÃÇ¾ÍÈÓÁËÌõÉş×Ó¸øÎÒ, ÎÒÏ£ÍûÓĞ×ã¹»Á¦ÆøÅÀÉÏÈ¥.;Les gardes sont venus me voir aujourd'hui. Ils n'ont fait que me lancer une corde. J'espère que j'aurai la force de remonter.;Die Wachen besuchten mich heute und warfen mir einfach ein Seil zu. Ich hoffe, ich habe noch die Kraft zu klettern.;;Hoy los guardias han venido a verme, se han limitado a tirarme una cuerda. Espero tener la fuerza para poder subir.;;;;;;;;;x
EVTOPTACM15002;°¡,×ÔÓÉ!;Que c'est bon d'être libre?;Oh, süße Freiheit!;;¡Oh, dulce libertad!;;;;;;;;;x
EVTDESCCM15004;Ì«ÑôµÄ¹â»Ô´ÌÈëÎÒÆÆÁÑÁ÷ÑªµÄÆ¤·ô, ÎÒ¸Ğ¾õÎÒºÃÏñÆ®ÔÚ¿Ó¶¥Ò»°ã.;Les rayons du soleil transpercent ma peau, elle craque et saigne, je me sens partir, j'ai l'impression que je commence ?sortir de ce puits en flottant dans l'air.;Die Strahlen der Sonne dringen in meine Haut ein, sie reißt und blutet und ich spüre, wie ich dahinschwinde, fast als ob ich aus dieser Grube entschweben würde.;;The rays from the sun dig into my skin, it cracks and bleeds and I feel myself slipping away almost as if floating out of this pit.;;;;;;;;;x
EVTOPTACM15004;Õâ¾ÍÊÇÌÒÔ°Âğ?;Vais-je mourir ainsi?;So soll ich sterben?;; ¿Es as?como muero?;;;;;;;;;x
EVTDESCCM15005;Ë­ÔÚÄÄ, ÊÇË­? ÎÒÌıµÃµ½È´Ãş²»×ÅÄã? Çó,ÇóÇóÄãÁË, ÎÒÄÜÌıµ½ÄãÔÚ¿ÓÍâ, ÇóÇóÄãÁË!;Qui est là ? Qui êtes-vous? Je vous entends mais je ne peux pas vous toucher? Je vous en prie, aidez-moi ?sortir de ce puits, je vous en supplie?;Wer ist da, wer seid Ihr? Ich kann Euch hören, aber nicht ertasten. B-Bitte helft mir. Ich höre Euch doch. Ihr seid draußen, vor der Grube! Bitte! Ich flehe Euch an!;;¿Quién est?ah? ¿Quién eres?¿Puedo oírte pero no te puedo tocar? P-Por favor ayúdeme, puedo oírte justo fuera del pozo. ¡Por favor, te lo suplico!;;;;;;;;;x
EVTOPTACM15005;ÄÇÊÇÒ»¸öÈËÕ¾ÔÚ±ßÔµ,»¹ÊÇËµÊÇÎÒµÄÏëÏó?;Quelqu'un s'est-il pench?au bord du puits, ou était-ce mon imagination?;Lehnte sich da gerade jemand hinab oder war das nur meine Einbildung?;;¡Era eso una persona reclinada sobre el límite, o fue producto de mi imaginación!;;;;;;;;;x
EVTDESCCM15006;Ä³ÌìÎÒÌÉÔÚ¿ÓÖĞ,¿ÊÍû¾ÈÊê,ÎÒÍ»È»Ã÷°×Ã»ÈË»áÀ´. ÎÒ±»ÒÅÆúÁËÂğ? ²», ²»¿ÉÄÜ! ĞÅÑöÊÇÎÒÎ¨Ò»Ê£ÏÂµÄ¶«Î÷, ÎÒµÃ±£³ÖÏ£Íû.;Couch?dans ce puits ?espérer qu'on me vienne en aide, je comprends soudain que personne ne viendra. Ai-je ét?abandonné ? Non? C'est impossible? Je dois continuer ?croire. C'est tout ce qu'il me reste.;Nach einem weiteren Tag in der Grube wird mir klar, dass niemand kommen wird. Hat man mich im Stich gelassen? Nein, das kann nicht sein! Ich darf den Glauben nicht aufgeben. Er ist das einzige, was mir noch bleibt.;;Mientras yazgo en el pozo esperando la salvación durante otro día, me doy cuenta que no vendr?nadie. ¿Me han abandonado? ¡No, esto no puede ser! Necesito tener esperanza, es lo único que me queda.;;;;;;;;;x
EVTOPTACM15006;ÎÒ½«»áÖ¤Ã÷ÎÒÓĞ×Ê¸ñ³ÉÎª [Root.Religion.GetHighGodName] µÄÆÍÈË¡£;[Root.Religion.GetHighGodName] me met ?l'épreuve. Je prouverai que je suis un digne serviteur?;Es ist eine Prüfung von [Root.Religion.GetHighGodName] und ich werde beweisen, dass mein Glaube unerschütterlich ist. Ich bin ein würdiger Diener von [Root.Religion.GetHighGodName].;;Es una prueba de [Root.Religion.GetHighGodName]. Mostrar?mi fe, voy a demostrar que soy digno de ser un siervo de [Root.Religion.GetHighGodName].;;;;;;;;;x
EVTDESCCM15007;Å¶,ÎÒµÄ±³, ¶¥×ÅÌ«ÑôÍ¦Ö±°É. Õâ¿ÓÊÇÒ»³¡ÕÛÄ¥, Ñ×ÈÈÏñÊıÇ§µ¶Æ¬Ò»°ã¹Î×ÅÎÒµÄÆ¤·ô. ÎÒ¿ÊÍû¾ÈÊêºÍ×ÔÓÉ, ÎÒÏ£Íû¹ØÑºÎÒµÄÈËÄÜ·ÅÎÒ³öÈ¥. µ«ĞÄµ×ÀïÎÒ¿ªÊ¼Ã÷°×..;Allong?sur le dos, je regarde le soleil qui frappe ma peau. Cette fosse est une torture. Le soleil perce ma peau comme un millier de lames minuscules. J'espère le salut. J'espère la libert? J'espère que mes ravisseurs me libèreront, mais au plus profond de moi, je commence ?comprendre...;Ich liege auf dem Rücken und starre nach oben, wo die Sonne auf mich hinabbrennt. Diese Grube ist eine Folter. Die Hitze ritzt meine Haut wie Tausende kleine Klingen. Ich sehne mich nach Erlösung, ich hoffe noch auf Freiheit, doch tief in mir beginne ich zu verstehen, dass ...;;Boca arriba, miro el sol cayendo a plomo sobre m? Este pozo es una tortura, el calor araña mi piel como un millar de diminutas cuchillas. Deseo la salvación, deseo la libertad, espero que mis captores me liberen, pero en el fondo estoy empezando a darme cuenta de que...;;;;;;;;;x
EVTOPTACM15007;ÎÒµÄĞÂÖ÷ÈË´ó×ğ,²ÅÄÜ½«ÎÒ´Ó·²ÊÀµÄÍ´¿à¼å°¾ÖĞ½â¾È!;Le seul qui peut me sauver de cette torture, de cette chaleur insupportable, c'est mon nouveau maître, Zun?;Der Einzige, der mich von dieser Folter, dieser unerträglichen Hitze erlösen kann, mein neuer Meister Zun ist!;;¡El único que puede liberarme de esta tortura, del calor insoportable, es mi nuevo señor supremo?Zun!;;;;;;;;;x
CANNOT_PLAY_CHARLEMANGE_BOOKMARK_WITHOUT_DLC;²éÀíÂüDLC;Contenu téléchargeable 'Charlemagne' requis;Charlemagne DLC benötigt;;Se necesita la extensión DLC Carlomagno;;;;;;;;;x
CANNOT_PLAY_TOG_BOOKMARK_WITHOUT_DLC;ĞèÒªÔ¶¹ÅÖ®ÉñDLC;Contenu téléchargeable 'Les Anciens Dieux' requis;The Old Gods DLC benötigt;;Se necesita la expansión DLC Dioses Antiguos;;;;;;;;;x
frisian;¸¥ÀïË¹À¼ÈË;frisonne;Friesisch;; Frisón;;;;;;;;;x
tribal_duke_frisian;´óÇõ³¤;Grand chef;Großhäuptling;;Alto mandatario;;;;;;;;;x
tribal_duke_female_frisian;Å®´óÇõ³¤;Grande cheftaine;Großhäuptling;;Alto mandataria;;;;;;;;;x
tribal_duchy_of_frisian;´óÇõ°î;Grande chefferie de;Großhäuptlingstum von;;Grande chefferie de;;;;;;;;;x
viking_age_cb_tooltip;ÈÕ¶úÂüÎÄ»¯µÄ½ÇÉ«ÏÖÓµÓĞĞÂµÄĞûÕ½ÀíÓÉ;Les personnages de religion germanique ont désormais un nouveau casus belli.;Charaktere germanischer Religionen erhalten nun neue Kriegsgründe.;;Ahora los personajes de la religión germánica consiguen nuevos CB:s;;;;;;;;;x
tb_war_camp_1;Õ½Óª;Camp militaire;Kriegslager;;Campamento de guerra;;;;;;;;;x
tb_war_camp_2;Õ½Óª;Camp militaire;Kriegslager;;Campamento de guerra;;;;;;;;;x
tb_war_camp_3;Õ½Óª;Camp militaire;Kriegslager;;Campamento de guerra;;;;;;;;;x
tb_war_camp_4;Õ½Óª;Camp militaire;Kriegslager;;Campamento de guerra;;;;;;;;;x
tb_war_camp_desc;²¿ÂäµÄÓÂÊ¿ÔÚ´ËÑµÁ·,×¼±¸Õ½ÊÂ.;C'est ici que les guerriers tribaux s'entraînent en préparation de la guerre.;Hier sammeln sich die Stammeskrieger, um in Vorbereitung auf den Krieg ihre Kampfkünste zu verbessern.;;Aqu?es donde los guerreros tribales se reúnen para perfeccionar sus habilidades para los tiempos de guerra.;;;;;;;;;x
tb_practice_range_1;²ÙÁ·Óª;Camp de tir;Übungsplatz (Bogen);;Campo de Prácticas;;;;;;;;;x
tb_practice_range_2;²ÙÁ·Óª;Camp de tir;Übungsplatz (Bogen);;Campo de Prácticas;;;;;;;;;x
tb_practice_range_3;²ÙÁ·Óª;Camp de tir;Übungsplatz (Bogen);;Campo de Prácticas;;;;;;;;;x
tb_practice_range_4;²ÙÁ·Óª;Camp de tir;Übungsplatz (Bogen);;Campo de Prácticas;;;;;;;;;x
tb_practice_range_desc;²¿ÂäÉäÊÖÔÚ´ËÑµÁ·Éä»÷¼¼ÇÉ.;Les archers tribaux se rendent ici pour s'affronter et s'entraîner.;Hier versammeln sich die Bogenschützen des Stammes, um ihre Zielsicherheit zu verbessern.;;Los arqueros tribales se encuentran aqu?para competir y practicar su puntería.;;;;;;;;;x
d_pskov;ÆÕË¹¿Æ·ò;Pskov;Pskow;;Pskov;;;;;;;;;x
d_kola;¿ÆÀ­;Kola;Kola;;Kola;;;;;;;;;x
d_kola_adj;¿ÆÀ­;kolane;Kolaner;;Kola;;;;;;;;;x
expel_zun_warriors;ÇıÖğÌ«ÑôÆïÊ¿;Expulser les Chevaliers du Soleil;Vertreibt die Ritter der Sonne;;Expulsar a los Caballeros del Sol;;;;;;;;;x
donate_money_to_zun_warriors;¾èÏ× 300¤ ¸øÌ«ÑôÆïÊ¿;Donner 300?aux Chevaliers du Soleil;Spendet den Rittern der Sonne 300?;Donar 300?a los Caballeros del Sol;;;;;;;;;x
expel_zun_warriors_desc;ÎÒ¿ÉÒÔ´Ó¹úÄÚÇıÖğÌ«ÑôÆïÊ¿,Ã»ÊÕËûÃÇµÄ³Ç±¤.Ö»²»¹ıÈç´ËÙôäÂÖ®ÊÂ..;Je peux expulser les Chevaliers du Soleil de mon territoire et m'emparer de leurs châteaux. Ce serait par contre un acte des plus impies...;Ich kann die Ritter der Sonne aus dem Land jagen und ihre Burgen beschlagnahmen. Allerdings wäre das leider nicht sehr fromm ...;;Puedo manejar a los Caballeros del Sol de mi reino y arrebatarles sus castillos. No obstante, eso sería una acción muy impía...;;;;;;;;;x
donate_money_to_zun_warriors_desc;ÎÒ¿ÉÒÔ¾èÇ®¸øÌ«ÑôÆïÊ¿»»È¡ [Player.Religion.GetPietyName] ºÍ½ÌÊ¿ÃÇÖÕÉíµÄ³ç°İ.;Je peux donner de l'argent aux Chevaliers du Soleil en échange de [Player.Religion.GetPietyName] et du respect permanent des prêtres.;Ich kann den Rittern der Sonne Geld spenden, um [Player.Religion.GetPietyName] und den lebenslangen Respekt der Priesterschaft zu erhalten.;;Puedo donar dinero a los Caballeros del Sol a cambio de [Player.Religion.GetPietyName] y el respeto de por vida del Clero.;;;;;;;;;x
d_haruriyyah;¹şÂ³ÀïÒ®ÅÉ;Haruriyyah;Haruriyyah;;Haruriyyah;;;;;;;;;x
d_haruriyyah_adj;¹şÂ³ÀïÒ®ÅÉ;haruriyyah;Haruriyyah;;Haruriyyah;;;;;;;;;x
;#expel_haruriyyah;Expel the Haruriyyah;;Vertreibt die Haruriyyah;;Expulsar a los Haruriyyah;;;;;;;;;x;
donate_money_to_haruriyyah;¾èÏ× 300¤ ¸ø¹şÂ³ÀïÒ®ÅÉ;Donner 300?aux Haruriyyah;Spendet den Haruriyyah 300?;Donar 300?a los Haruriyyah;;;;;;;;;x
;#expel_haruriyyah_desc;I can drive the Haruriyyah from my realm and seize their castles. However, it is a very impious thing to do...;;Ich kann die Haruriyyah aus dem Land jagen und ihre Burgen beschlagnahmen. Allerdings w?re das leider nicht sehr fromm ...;;Puedo manejar a los Haruriyyah de mi reino y arrebatarles sus castillos. No obstante, eso ser¨ªa una acci¨®n muy imp¨ªa...;;;;;;;;;x;
donate_money_to_haruriyyah_desc;ÎÒ¿ÉÒÔ¾èÇ®¸ø¹şÂ³ÀïÒ®ÅÉ»»È¡[Player.Religion.GetPietyName]ºÍ½ÌÊ¿ÃÇÖÕÉíµÄ³ç°İ.;Je peux donner de l'argent aux Haruriyyah en échange de [Player.Religion.GetPietyName] et du respect permanent du clerg?;Mit einer Geldspende an die Haruriyyah kann ich [Player.Religion.GetPietyName] und den lebenslangen Respekt der Priesterschaft erlangen.;;Puedo donar dinero a los Haruriyyah a cambio de [Player.Religion.GetPietyName] y el respeto de por vida del Clero.;;;;;;;;;x
expelled_d_zun_warriors;ÇıÖğÌ«ÑôÆïÊ¿;Chevaliers du Soleil expulsés;Die Ritter der Sonne wurden vertrieben;;Caballeros del Sol expulsados;;;;;;;;;x
expelled_d_haruriyyah;ÇıÖğ¹şÂ³ÀïÒ®ÅÉ;Haruriyyah expulsés;Die Haruriyyah wurden vertrieben;;Los Haruriyyah expulsados;;;;;;;;;x
EVTDESC_CM_4399;±İÏÂ, ÄúµÄ¿¶¿®¾èÏ×¶¨»áÎªÈËËùÖª. ÎÒºÍ½ÌÊ¿ÃÇ¶¼ÈÏÄúÎªÅóÓÑ. ·ÅĞÄ, Èç¹ûÈË¼äÃ»ÓĞÉÍ´Í,ÄúÔÚÌìÌÃÒ²»áµÃµ½µÄ.\nÔŞÃÀ [Root.Religion.GetRandomGodName],\n\n[From.GetTitledFirstName];[Root.PrimaryTitle.GetFOA], ce don des plus généreux ne sera pas oubli? Recevez ma reconnaissance, ainsi que celle du clerg? Vivez avec l'assurance que vous obtiendrez récompense au paradis, si ce n'est en ce bas monde?\nGloire ?[Root.Religion.GetRandomGodName],\n\n[From.GetFirstName];Eure Hoheit, diese äußerst großzügige Spende wird unvergessen bleiben! Ihr verdient meine Freundschaft wie auch die aller Priester! Seid versichert, dass Ihr im Himmel belohnt werdet, wenn nicht schon auf Erden! \nLob sei [Root.Religion.GetRandomGodName],\n\n[From.GetTitledFirstName];;Su Alteza, esta donación extremadamente generosa no quedar?en el olvido. Tiene mi amistad, as?como la del Clero. Tened la certeza de que seréis recompensados en el Paraíso, ¡si no en la Tierra!\n Alabado sea [Root.Religion.GetRandomGodName],\n\n[From.GetTitledFirstName];;;;;;;;;x
EVTOPTA_CM_4399;ÔŞÃÀ [Root.Religion.GetRandomGodName].;Que [Root.Religion.GetRandomGodName] soit loué !;Gepriesen sei [Root.Religion.GetRandomGodName].;;Alabado sea [Root.Religion.GetRandomGodName].;;;;;;;;;x
OVERWRITE_HOLDING;ÔÚ²¿Âä¾ÛÂäÖ®ÉÏ½¨Á¢ĞÂµÄÁìµØ;Établir une nouvelle propriét?et détruire la colonie tribale;Neues Besitztum bauen und Siedlung des Stammes zerstören;;Construir una nueva Propiedad y destruir el asentamiento tribal.;;;;;;;;;x
borrowed_from_haruriyyah;Ç·¹şÂ³ÀïÒ®ÅÉ 300¤ ;Doit 300?aux Haruriyyah;Schuldet den Haruriyyah 300?;Debe 300?a los Haruriyyah;;;;;;;;;x
EVTDESC_CM_4303;Ô¸°²Äş°éËæÄú,×îÎ°´óµÄ [Root.GetTitledFirstName]. ÈçÄúËùÖª, ÎÒÃÇ×éÖ¯ĞèÒªÁìµ¼Õß, ¶ø¼øÓÚÄúµÄ¸ºÕ®, ÎÒ¿ÒÇëÄúËÍÄúÄÇ¸ß¹óµÄ¶ù×Ó[FromFrom.GetFirstName]À´ÎÒÃÇÕâÈÎÊÂ. µ±È»,Õâ»áÈÃËûÉ¥Ê§¼Ì³ĞÈ¨. °²À­±£ÓÓÄú,\n\n[From.GetTitledName];La paix soit avec vous, très magnifique [Root.GetTitledFirstName]. Comme vous le savez peut-être, notre ordre a besoin de chefs et, considérant votre dette envers nous, j'aimerais présenter l'opportunit??votre noble et talentueux fils [FromFrom.GetFirstName] de servir dans nos rangs. Naturellement, cette décision le déshériterait. Qu'Allah vous garde.\n\n[From.GetTitledName];Friede sei mit Euch, Eure Erhabenheit. Wie Ihr vielleicht wisst, benötigt unser Orden Anführer und angesichts der Schulden, die Ihr bei uns habt, möchte ich darum bitten, dass Euer tapferer und edler Sohn [FromFrom.GetFirstName] in unseren Reihen diene. Natürlich würde ihn das von der Erbfolge ausschließen. Allah sei mit Euch!\n\n[From.GetFirstName];;Que la paz est?contigo, el más magnífico [Root.GetTitledFirstName]. Como seguramente sabes, nuestra orden necesita líderes y, considerando la deuda contraída con nosotros, me gustaría solicitar que tu hábil y noble hijo [FromFrom.GetFirstName] sirva en nuestras filas. Naturalmente, esto lo desheredaría. Que Al?est?contigo,\n\n[From.GetTitledName];;;;;;;;;x
EVTTITLE_CM_4309;¹şÂ³ÀïÒ®ÅÉ;Les Haruriyyah;Die Haruriyyah ;;Los Haruriyyah;;;;;;;;;x
