;#CODE;ENGLISH;;GERMAN;;SPANISH;;;;;;;;;;
character_owe_favor;此人将会欠你一个 人情?。;Ce personnage vous devra une faveur?.;Dieser Charakter wird Euch einen Gefallen? schuldig sein.;;ste personaje te deber?un Favor?;;;;;;;;;x
playful_desc;这个孩子喜欢沉浸在娱乐和游戏中，总是能找到去玩耍的借口。可能发展成：合群?，狡诈? 或  精神错乱?(很少)。;L'enfant est de nature joueuse, faisant de chaque activit?un jeu. Ceci peut conduire aux traits Sociabilit椐!, Fourberie? ou plus rarement Lunatique?.;Das Kind liebt Spiele und das Vergn黦en und hat einen spielerischen Zugang zur Welt. M鰃liche Entwicklungen: Gesellig?, Hinterlistig? oder (selten) Verr點kt?.;;Este ni駉 quiere participar en diversiones y juegos, convertir casi siempre cualquier actividad en una excusa para jugar. Puede desarrollarse como:  Gregario?, Embustero? o (raramente) Lun醫ico?.;;;;;;;;;x
conscientious_desc;这个孩子异乎寻常地细心、负责，乐于把繁琐的杂活、任务做得完美。可能发展成：勤奋? 或 节制?。;L'enfant est de nature m閠iculeuse et responsable. Ceci peut conduire aux traits Diligence? ou Temp閞ance?.;Das Kind ist au遝rgew鰄nlich pflichtbewusst und m鯿hte ihm gestellte Aufgaben m鰃lichst perfekt erledigen. M鰃liche Entwicklungen: Flei遡g? oder Gem溥igt?.;;Este ni駉 es inusualmente escrupuloso/a y responsable, tomando placer en la realizaci髇 de los quehaceres y tareas a la perfecci髇. Puede desarrollarse como: Diligente? o Moderado?;;;;;;;;;x
fussy_desc;这个孩子很讲究其他人觉得琐碎的细节，有时会因此沮丧、遭遇挫折。可能发展成：耐心?，贪婪? 或 多疑?。;L'enfant accorde une grande importance aux d閠ails, m阭e si ceux-ci semblent sans importance pour les autres, lui causant parfois anxi閠?et frustration. Ceci peut conduire aux traits Patience?, Avarice? ou Parano颽?.;Das Kind misst scheinbar nebens鋍hlichen Kleinigkeiten gro遝 Bedeutung zu, was nicht alle nachvollziehen k鰊nen und manchmal f黵 Frustration sorgt. M鰃liche Entwicklungen: Geduldig?, Gierig? oder Paranoid?.;;Este ni駉 es muy particular acerca de los detalles que parecen triviales para otros, a veces hasta el punto de causar ansiedad y frustraci髇. Puede desarrollarse como: Paciente?, Codicioso? o Paranoico?.;;;;;;;;;x
curious_desc;这个孩子有着好奇的天性，不断地提问题、探索新奇事物。可能发展成：精明?，愤世嫉俗? 或 同情其他宗教?。;L'enfant est de nature curieuse et pose constamment des questions, ?la recherche de nouvelles choses int閞essantes ?d閏ouvrir. Ceci peut conduire aux traits Ruse?, Cynisme? ou Sympathie pour une autre religion?.;Das Kind kann stundenlang Fragen stellen und ist immer auf der Suche nach neuen und interessanten Dingen. M鰃liche Entwicklungen: Klug?, Zynisch? oder Sympathie f黵 andere Religionen?.;;Este ni駉 tiene una naturaleza inquisitiva, est?preguntando constantemente y buscando cosas nuevas e interesantes. Puede desarrollarse como:  Astuto?, Suspicaz? o simpat韆s por otras religiones?.;;;;;;;;;x
idolizer_desc;这个孩子容易被感情影响，有着强烈的探求真理的欲望。可能发展成：狂热?，博学? 或 脆弱?;L'enfant est impressionnable et a 間alement un puissant d閟ir de conna顃re les grandes v閞it閟 de ce monde. Ceci peut conduire aux traits Z鑜e?, 蓃udition? ou Fr鑜e?.;Das Kind ist leicht zu beeindrucken und hat eine gro遝 Sehnsucht nach endg黮tigen Wahrheiten. M鰃liche Entwicklungen: Eifrig?, Gebildet? oder Schw鋍hlich?.;;Este ni駉 se impresiona f醕ilmente y tambi閚 tiene un deseo ferviente de buscar las 鷏timas verdades. Puede desarrollarse como: Celoso?, Erudito? o Fr醙il?.;;;;;;;;;x
CHRONICLE_RUNESTONE_POSSESSED;[Root.GetTitledName] 建起了一块符石，警示 Zulmarakh 的恶魔领主 Xuhmalz 会在千年之后，将破坏和混乱带回到这个可怜的世界。;[Root.GetTitledName] a fait lever une pierre runique pour rappeler le retour du seigneur d閙oniaque Xuhmalz du royaume de Zulmarakh lors du prochain mill閚aire pour apporter chaos et destruction sur ce monde pitoyable.;[Root.GetTitledName] errichtete einen Runenstein, um anzumahnen, dass Xuhmalz, der D鋗onenlord des Reiches von Zulmarakh, in den n鋍hsten Jahrtausenden zur點kkehren und Chaos und Zerst鰎ung 黚er diese erb鋜mliche Welt bringen wird.;;[Root.GetTitledName] levant?una piedra r鷑ica como recordatorio de que el Se駉r demon韆co Xuhmalz del reino de Zulmarakh volver?en los pr髕imos milenios a traer caos y destrucci髇 a este mundo lamentable.;;;;;;;;;x
CHRONICLE_HELD_NERGE;[Root.GetTitledName] 在 [Root.Location.GetName] 举办了一场盛大的捏儿格。;[Root.GetTitledName] a organis?une grande chasse ?[Root.Location.GetName].;[Root.GetTitledName] hielt in [Root.Location.GetName] eine gro遝 Nerge ab.;;[Root.GetTitledName] llev?a cabo un gran nerge en [Root.Location.GetName];;;;;;;;;x
EVTDESC_ZE_10076;致 [GetFromRootInsult] [Root.GetTitledFirstName]。\n\n我和我的部下们已经忍受你残酷的剥削很久了。你无数次不给予我们应得的尊重，因此我们将不再遵守与你的协议。我很高兴能帮助你的敌人，在战场上打败你的军队。;[Root.GetTitledFirstName], esp鑓e [GetFromRootInsultNounAdj],\n\nMes hommes et moi avons support?que vous vous serviez de nos comp閠ences trop longtemps. ?de multiples occasions, vous n'avez pas r閡ssi ?nous traiter avec le respect appropri?et c'est pourquoi nous ne ferons plus preuve de respect ou all間eance ?votre 間ard. Je me ferai une joie d'aider vos ennemis ?vaincre vos arm閑s sur le champ de bataille.;[Root.GetTitledFirstName],\n\nmeine M鋘ner und ich haben lange genug geduldet, dass Ihr unsere F鋒igkeiten f黵 Eure eigenen Zwecke missbraucht. Ihr habt uns wiederholt respektlos behandelt, weshalb wir Euch fortan auch keinen Respekt mehr zollen werden und uns von Euch lossagen. Es wird mir eine Freude sein, Eure Feinde bei der Vernichtung Eurer Armeen auf dem Schlachtfeld zu unterst黷zen.;;Para [GetFromRootInsult] [Root.GetTitledFirstName].\n\nMis hombres y yo hemos soportado como te aprovechabas de nuestras habilidades desde hace demasiado tiempo. No nos trataste con el respeto apropiado en m鷏tiples ocasiones y por lo tanto de ahora en adelante no te prestaremos ni respeto ni lealtad. Ser?un placer ayudar a tus enemigos a derrotar a tus ej閞citos en el campo de batalla.;;;;;;;;;x
EVTOPTA_ZE_10076;这个忘恩负义的 [GetRootFromInsult] ！;Esp鑓e [GetRootFromInsultNounAdj] ingrat?;Welch undankbare Person!;;esagradecido [GetRootFromInsult]!;;;;;;;;;x
;#pattern_selfish_affects_council_stability_tooltip;This affects the stability of the Council!;La stabilité du Conseil s'en trouve affectée?!;Dies beeinflusst die Stabilit?t des Rates!;;?Esto afecta la estabilidad del Consejo!;;;;;;;;;x;
tooltip_disables_advisors;\n在王国、帝国禁用荣誉头衔“顾问”\n;\nD閟active le titre mineur de conseiller pour les rois et empereurs\n;Deaktiviert niedrige Beratertitel f黵 K鰊ige und Kaiser\n;;Desactiva los t韙ulos de menor importancia del consejero para Reyes y emperadores\n;;;;;;;;;x
tooltip_enables_advisors;\n在王国、帝国可以授予荣誉头衔“顾问”\n;\nActive le titre mineur de conseiller pour les rois et empereurs\n;Aktiviert niedrige Beratertitel f黵 K鰊ige und Kaiser.\n;;Permite que los t韙ulos de menor importancia del consejero para Reyes y emperadores.\n;;;;;;;;;x
opinion_denied_request;请求被拒绝;Demande refus閑;Anfrage verweigert;;Solicitud denegada;;;;;;;;;x
EDUCATE_CHARACTER_INTERACTION_LONG_DESC_CONCLAVE;在你的孩子 6 岁时，可以委派一个监护人。监护人的宗教信仰、文化以及一些特质可能影响孩子的成长。;?6 ans, votre enfant peut 阾re confi??un tuteur. La religion, la culture, et certains traits de caract鑢e de celui-ci peuvent avoir un impact sur l'閐ucation de votre enfant.;Im Alter von 6 Jahren k鰊nt Ihr Euer Kind einem Vormund anvertrauen. Religionszugeh鰎igkeit, Kultur sowie bestimmte Eigenschaften des Vormunds k鰊nen die Erziehung Eures Kindes beeinflussen.;;A los 6 a駉s, se le puede poner un tutor a tu hijo. La religi髇 y cultura de su tutor,  as?como algunos rasgos pueden afectar la educaci髇 de tu hijo.;;;;;;;;;x
EVTOPTX_ZE_6021;不，我有些别的想法。;Non, j'avais autre chose en t阾e.;Nein, ich hatte etwas anderes im Sinn.;;No, se me ha ocurrido otra cosa.;;;;;;;;;x
EVTOPTY_ZE_6021;[From.GetSheHeCap] 应当成为我的顾问。;[From.GetSheHe] devrait 阾re mon conseiller.;[From.GetSheHeCap] sollte mein Berater sein.;;[From.GetSheHeCap] debe ser mi consejero.;;;;;;;;;x
well_mannered;有风度;Poss鑔e de bonnes mani鑢es;Wohlgesittet;;Bien educado/a;;;;;;;;;x
ask_for_pardon;请求原谅;Demander gr鈉e;Begnadigung ersuchen;;Pedir perd髇;;;;;;;;;x
ask_for_pardon_desc;以消耗人情?为交换，使你的领主可能拥有的驱逐、处决、逮捕或收回头衔的借口失效。;Demandez une faveur? pour annuler toute raison que pourrait poss閐er votre seigneur lige de bannir, ex閏uter, emprisonner ou r関oquer un titre.;Fordert einen Gefallen? ein, um s鋗tliche Gr黱de, die Euer Lehnsherr haben mag, um Euch zu versto遝n, hinzurichten, einzukerkern oder Titel abzuerkennen, zu annullieren.;;Reclamar un Favor? para eliminar cualquier motivo para desterrar, ejecutar, encarcelar o revocar t韙ulos que tenga tu se駉r.;;;;;;;;;x
EVTDESC_ZE_8120;阴险的 [pardon_target.GetBestName] 以你欠 [pardon_target.GetHerHim] 的人情为理由，强迫你原谅 [pardon_target.GetHerHis] 见不得人的罪恶！你不再可以对 [pardon_target.GetHerHim] 实施敌对行为，除非你想被全国当成暴君。;Dans toute sa malhonn阾et? [pardon_target.GetBestName] a souhait?utiliser une faveur que vous lui deviez afin de vous forcer ?pardonner ses crimes perfides? Vous ne pourrez plus entreprendre des actions hostiles contre [pardon_target.GetHerselfHimself] sans passer pour un tyran aux yeux de tout le pays.;[pardon_target.GetBestName], diese Ratte, hat einen von Euch geschuldeten Gefallen eingefordert, um Euch dazu zu zwingen, die verschlagenen, von [pardon_target.GetBestName] begangenen Verbrechen unges黨nt zu lassen! Ihr k鰊nt nun keine feindlichen Aktionen gegen [pardon_target.GetBestName] mehr veranlassen, ohne im gesamten Reich als Tyrann zu gelten.;;El retorcido de [pardon_target.GetBestName] ha reclamado el favor que [pardon_target.GetHerHim] debes para obligarte a perdonar [pardon_target.GetHerHis]s cr韒enes infames! Ya no podr醩 tomar medidas hostiles contra [pardon_target.GetHerHim] sin parecer un tirano a los ojos del reino.;;;;;;;;;x
EVTOPTA_ZE_8120;原谅它，忘掉它。;Pardonner et oublier.;Vergeben und vergessen.;;Perdonar y olvidar.;;;;;;;;;x
faction_powerful_vassal_takeover_title;推翻 [From.Liege.GetBestName];Renverser [From.Liege.GetBestName];[From.Liege.GetBestName] st黵zen;; Derrocar a [From.Liege.GetBestName];;;;;;;;;x
opinion_abdicated;应要求退位;Abdication sur demande;Abdankung auf Anfrage;;Abdicado por petici髇;;;;;;;;;x
EVTDESC8220;你是暴君，是 [GetFromRootInsult] ！你一直无视枢密院、无视你臣民的福祉，我们将不再袖手旁观。是时候让你让位给 [new_title_holder.GetFullName] 了！和平接受这个提议，不然就让你尝点苦头。\n\n署名，\n[From.GetTitledName];Esp鑓e [GetFromRootInsultNounAdj] tyrannique? Nous ne resterons pas inactifs alors que vous ignorez le Conseil et le bien 阾re de vos sujets. Le temps est venu pour vous d'abdiquer en faveur de [new_title_holder.GetFullName]? Soumettez-vous ?cette demande pacifiquement ou bien faites face aux cons閝uences.\n\nSign?\n[From.GetTitledName];Ihr seid ein beispielloser Tyrann! Wir werden nicht l鋘ger unt鋞ig dabei zusehen, wie Ihr den Rat und das Wohlergehen Eurer Untertanen missachtet. Es ist an der Zeit f黵 Euch, abzudanken und [new_title_holder.GetFullName] den Vortritt zu lassen! F黦t Euch dieser Forderung friedvoll oder tragt die Konsequenzen.\n\nGezeichnet,\n[From.GetTitledName];;res un tirano y un [GetFromRootInsult]! No queremos permanecer de brazos cruzados mientras ignoras el Consejo y el bienestar de sus s鷅ditos. a llegado el momento que abdiques en [new_title_holder.GetFullName]! Som閠ete pac韋icamente a esta petici髇 o afronta las consecuencias.\n\nFirmado,\n[From.GetTitledName];;;;;;;;;x
EVTDESC8223;为了避免让国家陷入内战、领土分裂，我决定服从你的要求放弃王位。但是这个背信弃义的敲诈行径我永远也不会忘记……\n\n署名，\n[From.GetTitledName];Plut魌 que de risquer une guerre civile qui diviserait le royaume, j'ai d閏id?de r閜ondre favorablement ?votre requ阾e et de renoncer au tr鬾e. Mais je n'oublierai pas de sit魌 votre acte de chantage...\n\nSign閈n[From.GetTitledName];Ich habe beschlossen, mich Eurer Forderung zu beugen und auf den Thron zu verzichten, anstatt einen B黵gerkrieg zu riskieren, der das Reich entzweit. Ich werde Euch diese heimt點kische Erpressung jedoch niemals vergessen ...\n\nGezeichnet,\n[From.GetTitledName];;En lugar de arriesgarme a guerra civil que desgarre el reino, he decidido ceder a vuestra demanda y abdicar del trono. Pero este acto traicionero de chantaje no ser?olvidado...\n\nFirmado,\n[From.GetTitledName];;;;;;;;;x
faction_powerful_vassal_takeover_ultimatum;要求退位;Demande d'abdication;Forderungsverzicht;;Exigir abdicaci髇;;;;;;;;;x
faction_powerful_vassal_takeover_ultimatum_desc;给 [Root.Liege.GetBestName]? 下发通牒，要求 [Root.Liege.GetSheHe] 让位给国内最受欢迎的封臣。如果 [Root.Liege.GetSubjectPronoun] 拒绝遵从，你的派系将会发起反叛。;Pr閟entez un ultimatum ?[Root.Liege.GetBestName]?, exigeant qu'[Root.Liege.GetSheHe] abdique en faveur du vassal le plus appr閏i?du royaume. Si [Root.Liege.GetSubjectPronoun] refuse d'obtemp閞er, votre faction se r関oltera.;Stellt [Root.Liege.GetBestName]? ein Ultimatum und fordert, dass [Root.Liege.GetSheHe] zugunsten des beliebtesten Vasallen im Reich verzichtet. Sollte [Root.Liege.GetSubjectPronoun] dies ablehnen, wird Eure Fraktion einen Aufstand anzetteln.;;Presentar un ultim醫um a [Root.Liege.GetBestName]?, exigiendo que [Root.Liege.GetSheHe] abdique en el vasallo m醩 querido del reino. Si [Root.Liege.GetSubjectPronoun] se niega a aceptar, tu facci髇 se alzar?en rebeli髇.;;;;;;;;;x
CB_NAME_POWERFUL_VASSAL_TAKEOVER;推翻统治者;Renverser le dirigeant;Herrscher entmachten;;Derrocar al gobernante;;;;;;;;;x
WAR_NAME_POWERFUL_VASSAL_TAKEOVER;$ORDER$ 战争，剥夺 $DEFENDER$ 的权力;$ORDER$Guerre pour renverser $DEFENDER$;$ORDER$-Krieg, um $DEFENDER$ zu entmachten;;$ORDER$Guerra para expulsar a $DEFENDER$ del poder;;;;;;;;;x
AIREASON_IS_MY_VASSAL;是我的封臣;Est mon vassal;Ist mein Vasall;;Es mi vasallo;;;;;;;;;x
EVTOPTREFUSE_WOL100;这永远也不会发生。;Cela n'arrivera jamais.;Das wird niemals geschehen.;;Nunca suceder?;;;;;;;;;x
EVTDESC_WOL_119;显然 [FromFromFrom.GetBestName] 顾虑声望不会同意调情。花再多时间去追 [FromFromFrom.GetHerHim] 也是浪费。;[FromFromFrom.GetBestName] a la r閜utation de ne pas se laisser s閐uire facilement. Ce badinage est une perte de temps.;Scheinbar hat [FromFromFrom.GetBestName] eine Reputation, nicht auf Flirtversuche einzugehen. Es ist verschwendete Zeit, [FromFromFrom.GetHerHim] nachzustellen.;;Por lo visto [FromFromFrom.GetBestName] tiene reputaci髇 de no ceder ante la coqueter韆. Perder m醩 tiempo persiguiendo[FromFromFrom.GetHerHim] es un desperdicio.;;;;;;;;;x
EVTOPTA_WOL_119;继续。;Continuons.;Weiter gehts.;;Pasar a otro.;;;;;;;;;x
EVTDESC_WOL_120;[From.GetBestName] 的答复跟我期望的完全不一样，显然我只能‘永远地离开’。;La r閜onse de [From.GetBestName] n'閠ait pas celle que j'attendais. Apparemment, je dois 珷garder mes distances牷.;Diese Antwort von [From.GetBestName] hatte ich nicht erwartet, wie es aussieht, soll ich mich fernhalten.;;La respuesta de [From.GetBestName] no era exactamente lo que esperaba, al parecer debo ' permanecer lejos para siempre '.;;;;;;;;;x
EVTOPTA_WOL_120;就这样吧。;Qu抜l en soit ainsi.;So sei es.;;Que as?sea.;;;;;;;;;x
opinion_seduced_refused;勾引被拒绝;S閐uction sans succ鑣;Unerwiderte Verf黨rung;;Seducci髇 rechazada;;;;;;;;;x
dismissed_proposal;拒绝了勾引企图;Tentative de s閐uction avort閑;Abgewiesene Verf黨rungsversuche;;Rechazando tentativas de la seducci髇;;;;;;;;;x
EVTDESC8225;我很谦恭地接下您今天给我的重任。我接受 [new_title_holder.GetTitle] 这个头衔，并将尽我所能效忠于您。您作出改变的壮举会被铭记。\n\n[new_title_holder.GetTitledName];La responsabilit?qui m'est confi閑 aujourd'hui m'honore. J'accepte le titre de [new_title_holder.GetTitle] pour vous servir du mieux que je peux. Vos efforts en vue du changement ne seront jamais oubli閟.\n\n[new_title_holder.GetTitledName];Ich stehe in Erfurcht vor der mir heute zugeteilten Verantwortung. Ich akzeptiere den Titel [new_title_holder.GetTitle], um Euch mit all meiner Macht zu dienen. Eure Bem黨ungen zum Wandel werden in Erinnerung bleiben.\n\n[new_title_holder.GetTitledName];;Me siento honrado por la responsabilidad que me ha dado hoy. Acepto el t韙ulo de [new_title_holder.GetTitle] para serviros en cada modo posible. Sus esfuerzos para lograr un cambio ser醤 recordados.\n\n[new_title_holder.GetTitledName];;;;;;;;;x
EVTOPTA8225;棒极了。;Fantastique.;Wunderbar.;;Maravilloso ;;;;;;;;;x
EVTDESC8226;[From.GetBestName] 领导的派系赢得了他们的战争，并钦点我来当 [Root.GetTitle] 的继承人。将来我会向帮助我的所有人展现我的宽宏慷慨。;La faction men閑 par [From.GetBestName] a remport?la guerre et a d閟ign?ma personne pour reprendre le titre de [Root.GetTitle]. Ma g閚閞osit?est attendue ?l'avenir envers tous ceux qui ont contribu??ma situation.;Die von [From.GetBestName] angef黨rte Fraktion konnte den Krieg f黵 sich entscheiden und hat mich als Nachfolger des Titels [Root.GetTitle] auserw鋒lt. Ich werde in Zukunft all jenen meine Gro遺黦igkeit zollen m黶sen, die dies m鰃lich machten.;;La facci髇 liderada por [From.GetBestName] gan?la guerra y me eligieron como sucesor al t韙ulo de [Root.GetTitle]. En el futuro se espera que muestre generosidad hacia todos aquellos que ayudaron a que esto sucediese.;;;;;;;;;x
EVTOPTA8226;无上的荣耀。;C'est un grand honneur.;Eine gro遝 Ehre.;;Un gran honor.;;;;;;;;;x
EVTOPTHAU;可能导致 傲慢?;Pourrait mener ?un caract鑢e hautain?;Kann zu 躡erheblichkeit? f黨ren;;Puede llevar a Altanero?;;;;;;;;;x
EVTOPTAFF;可能导致 深情?;Pourrait mener ?un caract鑢e tendre?;Kann zu Anh鋘glichkeit? f黨ren;;Puede llevar a Afectuoso?;;;;;;;;;x
EVTOPTTIM;可能导致 胆怯?;Pourrait mener ?un caract鑢e timide?;Kann zu Furcht? f黨ren;;Puede llevar a Timido?;;;;;;;;;x
EVTOPTROW;可能导致 粗暴?;Pourrait mener ?un caract鑢e chahuteur?;Kann zu Rauflust? f黨ren;;Puede llevar a alborotado?;;;;;;;;;x
EVTOPTWIL;可能导致 任性?;Pourrait mener ?un caract鑢e opini鈚re?;Kann zu Sturheit? f黨ren;;Puede llevar a tozudo?;;;;;;;;;x
EVTOPTBRO;可能导致 深沉?;Pourrait mener ?un caract鑢e songeur?;Kann zu Gr黚elei? f黨ren;;Puede llevar a amenazador?;;;;;;;;;x
EVTOPTIND;可能导致 怠惰?;Pourrait mener ?un caract鑢e veule?;Kann zu Tr鋑heit? f黨ren;;Puede llevar a indolente?;;;;;;;;;x
EVTOPTPLA;可能导致 贪玩?;Pourrait mener ?un caract鑢e espi鑗le?;Kann zu Ausgelassenheit? f黨ren;;Puede llevar a juguet髇?;;;;;;;;;x
EVTOPTCON;可能导致 尽责?;Pourrait mener ?un caract鑢e consciencieux?;Kann zu Pflichtbewusstsein? f黨ren;;Puede llevar a concienzudo?;;;;;;;;;x
EVTOPTFUS;可能导致 挑剔?;Pourrait mener ?un caract鑢e pointilleux?;Kann zu 躡ereifer? f黨ren;;Puede llevar a quisquilloso?;;;;;;;;;x
EVTOPTIDO;可能导致 极端?;Pourrait mener ?un caract鑢e idol鈚re?;Kann zu Anbetung? f黨ren;;Puede llevar a adorador?;;;;;;;;;x
EVTOPTHAU_FROM;[From.GetFirstName]? 可能获得 傲慢?;[From.GetFirstName]? pourrait d関elopper un caract鑢e hautain?;[From.GetFirstName]? wird eventuell 黚erheblich?;;[From.GetFirstName]? obtendr韆 Altanero?;;;;;;;;;x
EVTOPTAFF_FROM;[From.GetFirstName]? 可能获得 深情?;[From.GetFirstName]? pourrait d関elopper un caract鑢e tendre?;[From.GetFirstName]? wird eventuell anh鋘glich?;;[From.GetFirstName]? obtendr韆 Afectuoso?;;;;;;;;;x
EVTOPTTIM_FROM;[From.GetFirstName]? 可能获得 胆怯?;[From.GetFirstName]? pourrait d関elopper un caract鑢e timide?;[From.GetFirstName]? wird eventuell schreckhaft?;;[From.GetFirstName]? obtendr韆 Timido?;;;;;;;;;x
EVTOPTROW_FROM;[From.GetFirstName]? 可能获得 粗暴?;[From.GetFirstName]? pourrait d関elopper un caract鑢e chahuteur?;[From.GetFirstName]? wird eventuell rauflustig?;;[From.GetFirstName]? obtendr韆 alborotado?;;;;;;;;;x
EVTOPTWIL_FROM;[From.GetFirstName]? 可能获得 任性?;[From.GetFirstName]? pourrait d関elopper un caract鑢e opini鈚re?;[From.GetFirstName]? wird eventuell stur?;;[From.GetFirstName]? obtendr韆 tozudo?;;;;;;;;;x
EVTOPTBRO_FROM;[From.GetFirstName]? 可能获得 深沉?;[From.GetFirstName]? pourrait d関elopper un caract鑢e songeur?;[From.GetFirstName]? wird eventuell gr黚eln?;;[From.GetFirstName] obtendr韆 amenazador?;;;;;;;;;x
EVTOPTIND_FROM;[From.GetFirstName]? 可能获得 怠惰?;[From.GetFirstName]? pourrait d関elopper un caract鑢e veule?;[From.GetFirstName]? wird eventuell verzagt?;;[From.GetFirstName] obtendr韆 indolente?;;;;;;;;;x
EVTOPTPLA_FROM;[From.GetFirstName]? 可能获得 贪玩?;[From.GetFirstName]? pourrait d関elopper un caract鑢e espi鑗le?;[From.GetFirstName]? wird eventuell ausgelassen?;;[From.GetFirstName] obtendr韆 juguet髇?;;;;;;;;;x
EVTOPTCON_FROM;[From.GetFirstName]? 可能获得 尽责?;[From.GetFirstName]? pourrait d関elopper un caract鑢e consciencieux?;[From.GetFirstName]? wird eventuell pflichtbewusst?;;[From.GetFirstName] obtendr韆 concienzudo?;;;;;;;;;x
EVTOPTFUS_FROM;[From.GetFirstName]? 可能获得 挑剔?;[From.GetFirstName]? pourrait d関elopper un caract鑢e pointilleux?;[From.GetFirstName]? wird eventuell 黚ereifrig?;;[From.GetFirstName] obtendr韆 quisquilloso?;;;;;;;;;x
EVTOPTIDO_FROM;[From.GetFirstName]? 可能获得 极端?;[From.GetFirstName]? pourrait d関elopper un caract鑢e idol鈚re?;[From.GetFirstName]? wird eventuell anbetend?;;[From.GetFirstName] obtendr韆 adorador?;;;;;;;;;x
pattern_selfish_affects_council_stability_tooltip;这影响枢密院的稳定性！\n;La stabilit?du Conseil s'en trouve affect閑?\n;Dies beinflusst die Stabilit鋞 des Rates!\n;;sto afecta la estabilidad del Consejo!\n;;;;;;;;;x
pattern_glory_hound_weakening_ruling_dynasty_tooltip;我不想让你使你的家族衰弱！\n;Votre dynastie ne doit pas 阾re affaiblie?\n;Ich m鯿hte nicht, dass Ihr Eure Dynastie schw鋍ht!\n;;o quiero que debilites tu Dinast韆!\n;;;;;;;;;x
pattern_glory_hound_weakening_powerful_vassal_tooltip;我不想让你弱化权臣！\n;Vos puissants vassaux ne doivent pas 阾re affaiblis?\n;Ich m鯿hte nicht, dass Ihr m鋍htige Vasalle schw鋍ht!\n;;o quiero que debilites a vasallos Poderosos!\n;;;;;;;;;x
pattern_glory_hound_defenseless_child_tooltip;太不光彩了，这可是一个手无寸铁的孩子！\n;Il n'y a aucune gloire ?gagner, ce n'est qu'une cible sans d閒ense?\n;Es gibt in dieser Sache keinen Ruhm, der Charakter ist ein hilfloses Kind!\n;;o puedo enorgullecerme de esto, el personaje es un ni駉 indefenso!\n;;;;;;;;;x
pattern_pragmatist_dislike_landing_ruling_family_tooltip;我不想让你把土地授予给你的家族！\n;Vous ne devez pas donner des terres ?votre dynastie?\n;Ich m鯿hte nicht, dass Ihr Eurer Dynastie Land zusprecht!\n;;o quiero que concedas tierras a tu Dinast韆!\n;;;;;;;;;x
pattern_pragmatist_were_already_busy_fighting_tooltip;我们已经在忙于另一场战争了\n;Nous menons d閖?une autre guerre.\n;Wir k鋗pfen bereits in einem anderen Krieg\n;;Ya estamos ocupados luchando otra guerra\n;;;;;;;;;x
pattern_pragmatist_were_not_already_busy_fighting_tooltip;我们没有被另一场战争缠住\n;Aucune autre guerre ne nous occupe en ce moment.\n;Wir sind zur Zeit in keinen anderen Krieg verwickelt\n;;No estamos ocupados con otra guerra\n;;;;;;;;;x
pattern_zealot_should_focus_on_great_holy_war;我想专注于正在进行的 [Root.Religion.GetCrusadeName]\n;Je veux que vous vous occupiez de la [Root.Religion.GetCrusadeName] en cours.\n;Wir sollten uns auf den aktuellen [Root.Religion.GetCrusadeName] konzentrieren\n;;Hay un curso [Root.Religion.GetCrusadeName] en la que quiero que nos fijemos\n;;;;;;;;;x
pattern_zealot_fromfrom_is_pious_tooltip;战争目标很虔诚，并且是我的同宗\n;La cible est pieuse et partage ma religion.\n;Das Ziel ist fromm und von meiner Religion\n;;El objetivo es piadoso y de mi religi髇\n;;;;;;;;;x
pattern_vastly_over_demesne_tooltip;你严重超出了直辖上限，应该分出一个男爵领或伯爵领\n;Vous d閜assez largement votre limite de domaine et devez confier une baronnie ou un comt?\n;Ihr 黚erschreitet Euer Dom鋘en-Limit immens und bietet eine Baronie oder Grafschaft feil\n;;Has superado enormemente tu L韒ite de Dominio y repartes una baron韆 o un condado\n;;;;;;;;;x
out_of_patience;失去耐心;?bout de nerfs;Keine Geduld mehr;;Impaciente;;;;;;;;;x
chattermouth;喋喋不休;Comm鑢e;Quasselstrippe;;Charlat醤;;;;;;;;;x
too_honest;诚实过度;Trop honn阾e;Zu ehrlich;;Demasiado honesto;;;;;;;;;x
impious_teachings;不虔诚的教义;Enseignements impies;Unfromme Lehren;;Ense馻nzas imp韆s;;;;;;;;;x
opinion_hypocrite;伪君子;Hypocrite;Heuchler;;hip骳rita;;;;;;;;;x
opinion_boring;无聊;P閚ible;Langweilig;;aburrido ;;;;;;;;;x
EVTOPTC_ZE_13620;[From.GetFirstName] 必须靠 [From.GetHerHis] .;[From.GetFirstName] doit apprendre par [From.GetHerselfHimself]-m阭e.;[From.GetFirstName] muss es alleine lernen.;;[From.GetFirstName] debe aprender por [From.GetHerHis] solo/a.;;;;;;;;;x
