;#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
;#TITLE_CREATION_HAS_OWNER;You are not allowed to create or usurp titles while you hold a Temporary title;;Ihr dürft dieser Fraktion zur Zeit nicht beitreten.;;No te está permitido unirte a esta facción ahora.;;;;;;;;;x;
CAN_ONLY_JOIN_X_FACTIONS;只能够加入 $NUM$? 派系!?;Vous ne pouvez rejoindre que $NUM$? Factions??;Ihr d黵ft nur $NUM$? Fraktionen beitreten!;;olo puedes unirte a $NUM$? Facciones!;;;;;;;;;x
EVTOPTA_RoI_223;混账!;C'est un d閟astre?;Desaster!;;esastre!;;;;;;;;x
EVTDESC_RoI_224;最近,由于担心那颗钻石,你夜不能寐.虽然你不断安慰自己,钻石存在金库里很安全,但是这是徒劳的.你总是怀疑,自己是否做好了一切保护那颗钻石?;Ces derniers temps, vous 阾es en proie ?des insomnies. Votre beau diamant vous remplit d'inqui閠ude. Vous savez qu'il est en s閏urit?dans vos coffres, mais ne pas le voir vous angoisse. Avez-vous pris toutes les pr閏autions pour le prot間er?;In letzter Zeit habt Ihr schlecht geschlafen. Ihr sorgt Euch um Euren Diamanten. Ihr wisst, er ist sicher in der Schatzkammer - und doch: wann immer Ihr ihn nicht seht, sorgt Ihr Euch. Habt Ihr wirklich alle Vorkehrungen f黵 seine Sicherheit getroffen?;;趌timamente, no duermes bien. Te preocupa tu gran diamante. Sabes que deber韆 estar a salvo en la c醡ara del tesoro, pero cuando no lo ves te preocupas. 緿e verdad has tomado todas las precauciones posibles para que est?a salvo?;;;;;;;;x
EVTOPTA_RoI_224;我要疯了!;J'en perds la t阾e?;Das macht mich noch verr點kt!;;e saca de mis casillas!;;;;;;;;x
EVTDESC_RoI_226;你的[Root.Spouse.GetHusbandWife]对钻石是否满意.[Root.Spouse.GetSheHe]一直带在[Root.Spouse.GetHerHim]身边,向周围的人炫耀.;Votre [Root.Spouse.GetHusbandWife] adore ce magnifique diamant. [Root.Spouse.GetSheHe] le garde avec [Root.Spouse.GetHerselfHimself] tout le temps et savoure les t閙oignages d'admiration de tous ceux qui le voient.;Euer Ehegespons ist sehr dankbar 黚er den gro遖rtigen Diamanten. [Root.Spouse.GetSheHe] beh鋖t ihn die ganze Zeit bei sich und sonnt sich in der Bewunderung, welche der Edelstein einbringt. ;;A tu [Root.Spouse.GetHusbandWife] le encanta el magn韋ico diamante. [Root.Spouse.GetSheHe] lo mantiene consigo todo el tiempo, deleit醤dose de la admiraci髇 que atrae de quienquiera que lo vea.;;;;;;;;x
EVTOPTA_RoI_226;[Root.Spouse.GetSheHe]喜欢这件礼物,实在太好了!;J'aime voir qu'[Root.Spouse.GetSheHe] appr閏ie ce pr閟ent?;Ich bin froh, dass [Root.Spouse.GetSheHe] das Geschenk mag!;;e satisface que le guste el regalo!;;;;;;;;x
EVTDESC_RoI_228;你的[Root.Spouse.GetHusbandWife]面带泪痕来见你.[Root.Spouse.GetSheHe]告诉你,你给[Root.Spouse.GetHerHim]的钻石在[Root.Spouse.GetSheHe]骑马的时候遗失了.没有发现任何线索.;Votre [Root.Spouse.GetHusbandWife] vient vous voir, en larmes. [Root.Spouse.GetSheHe] vous explique que le beau diamant que vous lui avez offert a 閠?vol?pendant qu'[Root.Spouse.GetSheHe] traversait une ville marchande. Le voleur n'a pu 阾re retrouv?;Euer Ehegespons kommt zu Euch, in Tr鋘en aufgel鰏t. [Root.Spouse.GetSheHe] erz鋒lt Euch, dass der gro遝 Diamant, den Ihr [Root.Spouse.GetHerHim] geschenkt habt, gestohlen wurde, w鋒rend [Root.Spouse.GetSheHe] durch eine Markstadt ritt. Es gibt keine Spur des Diebes.;;Tu [Root.Spouse.GetHusbandWife] se acerca a ti, llorando. [Root.Spouse.GetSheHe] te cuenta que el gran diamante que le diste ha sido robado mientras paseaba a caballo por el mercado local. No hay rastro del ladr髇.;;;;;;;;x
EVTOPTA_RoI_228;哦,不!;Oh non?;Oh nein!;;h, no!;;;;;;;;x
EVTDESC_RoI_230;你一直担心着你的[Root.Spouse.GetHusbandWife] [Root.Spouse.GetFirstName].最近,  [Root.Spouse.GetSheHe] 总是呆在 [Root.Spouse.GetHerHis] 房里, 把玩 [Root.Spouse.GetHerHis] 那颗钻石,而且对 [Root.Spouse.GetHerselfHimself]说着什么. [Root.Spouse.GetSheHe] 甚至对你对 [Root.Spouse.GetHerHim]的劝诫也不上心.;Vous vous inqui閠ez au sujet de votre [Root.Spouse.GetHusbandWife] [Root.Spouse.GetFirstName]. Ces derniers temps, [Root.Spouse.GetSheHe] reste dans sa chambre ?caresser son diamant et ?lui parler. [Root.Spouse.GetSheHe] ne r閜ond m阭e plus quand vous lui parlez.;Ihr seid besorgt 黚er Euer Ehegespons [Root.Spouse.GetFirstName]. In letzter Zeit sitzt [Root.Spouse.GetSheHe] meist nur in [Root.Spouse.GetHerHis]em Raum, fingert an [Root.Spouse.GetHerHis]em gro遝n Diamanten und spricht mit [Root.Spouse.GetHerselfHimself]. [Root.Spouse.GetSheHe] antwortet nicht mal mehr, wenn Ihr mit [Root.Spouse.GetHerHim] zu sprechen versucht.;;Te preocupa tu [Root.Spouse.GetHusbandWife] [Root.Spouse.GetFirstName]. 趌timamente, [Root.Spouse.GetSheHe] pasa todo el tiempo en su habitaci髇, mimando a su gran diamante y hablando con [Root.Spouse.GetHerselfHimself]. [Root.Spouse.GetSheHe] ni siquiera contesta cuando intentas hablarle.;;;;;;;;x
EVTOPTA_RoI_230;[Root.Spouse.GetSheHe] 被夺走了!;Son 鈓e est perdue?;[Root.Spouse.GetSheHe] ist f黵 mich verloren!;;e perdido a [Root.Spouse.GetSheHe]!;;;;;;;;x
EVTDESC_RoI_232;侍卫长满头大汗前来告诉你,[Root.Spouse.GetTitledFirstName]死于半道抢劫,强盗试图夺走那颗钻石!幸好,当强盗准备逃跑的时候,正好一队士兵路过,消灭了强盗.;Le capitaine de la garde vient vous voir en sueur. La terreur se lit dans ses yeux. Il vous explique que [Root.Spouse.GetTitledFirstName] a trouv?la mort sur la route? des bandits ont attaqu? ils en voulaient au diamant. Une patrouille arrivait sur place juste ?ce moment cependant? ils ont pu tuer les voleurs et r閏up閞er le tr閟or.;Der Hauptmann Eurer Wache kommt zu Euch, schwitzend und mit Panik in den Augen. Er berichtet, dass [Root.Spouse.GetTitledFirstName] auf offener Stra遝 ermordet wurde, von R鋟bern, welche m鰃licherweise den Diamanten stehlen wollten. Eine Patrouille kam gerade noch rechtzeitig, um die R鋟ber zu t鰐en und den Schatz zu retten.;;El capit醤 de tu guardia viene a verte, sudando, con el terror en la cara. e dice que [Root.Spouse.GetTitledFirstName] ha perdido la vida en la carretera a manos de ladrones que probablemente quisieran su gran diamante! No obstante, una patrulla de soldados lleg?tras cometerse el crimen y lograron matar a los ladrones y recuperar el tesoro.;;;;;;;;x
EVTOPTA_RoI_232;喔!;Malheur?;Oh weh!;;醩tima!;;;;;;;;x
EVTDESC_RoI_240;从目前的情况看,那颗钻石似乎会给人带来恶运.几个接触过它的仆人都死了.很多人都说钻石被施了诅咒,它会毁了你自己甚至你的家族.听到这些流言,你开始担心起来.;Si on excepte les 関鑞ements plus graves, vous vous rendez compte qu'un grand nombre de petits incidents semble concerner le diamant. Plusieurs serviteurs qui l'ont eu en main sont morts. Dans les rues, on chuchote et les rumeurs vont bon train? le diamant serait maudit et apporterait le malheur sur votre dynastie. Vous commencez ?penser que le peuple n'a peut-阾re pas tout ?fait tort.;Neben einigen ernsthaften Ereignissen geschahen eine Menge kleiner, schlimmer Dinge rund um den gro遝n Diamanten. Mehrere Diener, die mit ihm zu tun hatten, starben. Die Leute fl黶tern und tratschen, sie sagen, der Diamant sei verflucht und wird Unheil 黚er Eure Dynastie bringen. Ihr fragt Euch langsam, ob sie damit nicht Recht haben. ;;Aparte de acontecimientos m醩 serios, te has dado cuenta de que pasan muchas peque馻s cosas extra馻s alrededor del gran diamante. Varios sirvientes que lo han tocado han muerto. La gente alrededor cuchichea, dicen que el diamante est?maldito y que traer?la desgracia a tu dinast韆. Empiezas a preguntarte si no tendr醤 raz髇.;;;;;;;;x
EVTOPTA_RoI_240;我已经受够了,把它卖了吧.;Cela me fait mal, mais je vais devoir le vendre.;So sehr es mich schmerzt - ich werde ihn verkaufen.;;Por mucho que me duela, lo vender?;;;;;;;;x
EVTOPTB_RoI_240;直接丢进河里,不让它害人了.;Jetons-le dans le fleuve.;Werft ihn in den Fluss.;;T韗alo al r韔.;;;;;;;;x
EVTOPTC_RoI_240;不,这是我的宝贝!;Non, il est ?moi?;Nein - er ist mein Schaaatz!;;o, es mi tesoro!;;;;;;;;x
EVTOPTD_RoI_240;我不能离开它,我要和它死在一起!;Je ne peux pas vivre avec, ni sans. Je vais l'avaler et me donner la mort ensuite?;Ich kann nicht ohne ihn leben. Ich werde ihn verschlucken und mich selbst t鰐en!;;No puedo vivir ni con 閘 ni sin 閘. e lo tragar?y me matar?;;;;;;;;x
EVTDESC_RoI_241;卖了钻石后,你感到无比空虚.或许应该派骑兵从商人手里拿回它.;Vous avez vendu votre beau diamant, mais ?pr閟ent il vous manque terriblement. Peut-阾re qu'en envoyant des cavaliers ?la poursuite des marchands, vous pourriez le r閏up閞er.;Ihr habt den gro遝n Diamanten verkauft, doch nun vermisst Ihr ihn. Vielleicht bekommt Ihr ihn wieder, wenn Ihr den H鋘dlern Reiter hinterherschickt.;;Has vendido el gran diamante, pero ahora te das cuenta de que lo a駉ras. Puede que si env韆s jinetes tras los mercaderes, lo puedas recuperar.;;;;;;;;x
EVTOPTA_RoI_241;派出骑兵;Envoyons des cavaliers.;Entsendet die Reiter;;Enviar jinetes.;;;;;;;;x
EVTOPTB_RoI_241;不,是时候结束了.;Non, il faut tourner la page.;Nein, es ist vorbei;;No, se acab?;;;;;;;;x
EVTDESC_RoI_242;派出去的骑兵带着钻石回来了.由于商人拒绝交还,他们杀死了商人,夺回了钻石,你准备的钱也没有用出去....;Les cavaliers que vous avez envoy閟 ?la poursuite du diamant sont revenus. Ils vous expliquent que les marchands qui ont achet?la pierre refusent de la revendre. Lorsqu'ils ont insist? il y a eu combat. Les marchands ont 閠?tu閟 mais vos hommes ont r閡ssi ?r閏up閞er le diamant. Et comme une bonne nouvelle ne vient jamais seule, vous avez pu garder votre argent...;Die Reiter kehren zur點k. Sie erkl鋜en, dass der H鋘dler sich weigerte, den Diamanten wieder zu verkaufen, als sie darauf bestanden, entbrach ein Kampf. Der H鋘dler wurde get鰐et, doch Eure M鋘ner erhielten den Diamanten. Wie es scheint, k鰊nt Ihr das Geld nun auch behalten.;;Los jinetes que enviaste regresan. Explican que el mercader que compr?tu joya se neg?a revenderla y que cuando insistieron se desat?una pelea. El mercader ha muerto pero tus hombres han conseguido recuperar el diamante. Como han transcurrido las cosas, tambi閚 conservas el dinero...;;;;;;;;x
EVTOPTA_RoI_242;我要把它放在枕头下面.;Je dormirai avec lui sous mon oreiller.;Ich werde mit ihm unter meinem Kissen schlafen!;;Dormir?con 閘 bajo mi almohada.;;;;;;;;x
the_diamond_thief;钻石小偷;Voleur de diamant;Diamantendieb;;Ladr髇 de diamantes;;;;;;;;x
EVTDESC_RoI_243;你把钻石丢进了河里,但是抑制不住对它的想念.或许该去丢钻石的地方找找?;Vous avez jet?votre magnifique diamant dans le fleuve, mais ?pr閟ent il vous manque terriblement. Peut-阾re pourriez-vous retourner le chercher?;Ihr habt den Diamanten in den Fluss geworfen, vermisst ihn aber nun. Vielleicht findet Ihr ihn wieder, wenn Ihr genau nachseht?;;Arrojaste el magn韋ico diamante al r韔, pero ahora lo echas terriblemente de menos. Quiz醩 a鷑 podr韆s ir a encontrarlo si vas a echar un vistazo.;;;;;;;;x
EVTOPTA_RoI_243;亡羊补牢,现在去找还来得及.;Il n'est pas trop tard pour rectifier mon erreur. Nous le retrouverons?;Es ist noch nicht zu sp鋞 - wir werden suchen!;;No es demasiado tarde para enderezar mi error. o buscaremos!;;;;;;;;x
EVTOPTB_RoI_243;算了吧.;Non, laissons-le l?;Lasst es bleiben.;;D閖alo estar.;;;;;;;;x
EVTDESC_RoI_244;你派出手下把那里搜了个遍,但毫无收获.沮丧的你亲自下河寻找,但也没能找到.;Vous envoyez vos hommes fouiller le fleuve l?o?vous avez jet?le diamant, mais aucune trace. De frustration, vous d閏idez de plonger vous-m阭e. Vous plongez ainsi pendant plusieurs heures mais c'est inutile, le diamant est introuvable.;Ihr entsendet M鋘ner, um den Fluss abzusuchen, doch ohne Erfolg. Frustriert taucht Ihr schlie遧ich selbst hinab. Ihr watet und schwimmt hin und her, sucht stundenlang, doch es ist nutzlos: Finden k鰊nt Ihr nichts.;;Env韆s a tus hombres a buscar en el r韔 donde lo arrojaste, pero sin suerte. Frustrado, saltas al agua. Te sumerges y nadas arriba y abajo, buscando durante horas, pero es in鷗il, no puedes encontrarlo.;;;;;;;;x
EVTOPTA_RoI_244;它就这么不见了!;Il a disparu?;Er ist verschwunden!;;a desaparecido!;;;;;;;;x
EVTDESC_RoI_245;一天早上你醒来时,突然发现那颗钻石已经没了!有人趁你熟睡,潜入卧室偷走了它.;Un matin alors que vous vous r関eillez, vous constatez que votre pr閏ieux diamant a disparu? Quelqu'un l'a vol?pendant que vous dormiez? Quelqu'un est all?jusqu'?s'introduire dans votre chambre?;Eines Morgens wacht Ihr auf und bemerkt: Euer Diamant ist verschwunden. Jemand hat ihn gestohlen, w鋒rend Ihr geschlafen habt... direkt aus Eurem Schlafgemach!;;na ma馻na al levantarte, te das cuenta de que tu precioso diamante ha desaparecido! Alguien lo ha robado mientras dorm韆s, en tu propio dormitorio.;;;;;;;;x
EVTOPTA_RoI_245;一定是我的妻子!;C'est certainement ma femme?;Es muss meine Frau gewesen sein!;;ebe de haber sido mi esposa!;;;;;;;;x
EVTOPTB_RoI_245;一定是我的兄弟!;C'est certainement quelqu'un de mon sang?;Es muss jemand meines Blutes gewesen sein!;;ebe de haber sido alguien de mi propia sangre!;;;;;;;;x
EVTOPTC_RoI_245;一定是宫廷里的人!;C'est certainement quelqu'un du Conseil?;Ich wei? dass es jemand aus meinem Rat war!;;?que ha sido alguien del consejo!;;;;;;;;x
EVTDESC_RoI_247;[From.GetTitledFirstName] 对你的指责十分愤怒.你把 [From.GetHerHim] 关入地牢,同时搜查 [From.GetHerHim] 住处,但毫无收获.之后,你开始怀疑,自己是不是搞错了?;[From.GetTitledFirstName] r閍git tr鑣 mal ?votre accusation. Vous l'emprisonnez pendant que ses quartiers subissent une fouille en r鑗le. Mais les recherches ne donnent rien. Apr鑣 un certain temps, vous commencez ?douter. Peut-阾re vos soup鏾ns 閠aient-ils infond閟?;[From.GetTitledFirstName] ist sehr ungehalten 黚er Eure Anschuldigung. Ihr sperrt ihn [From.GetHerHim] in den Kerker, w鋒rend die Gem鋍her durchsucht werden, doch nichts wird gefunden. Nach einer Weile kommen Euch Zweifel: Vielleicht war Euer Misstrauen unangebracht?;;[From.GetTitledFirstName] se molesta enormemente por tu acusaci髇. [From.GetSheHe] permanece en un calabozo mientras sus aposentos son registrados, pero no se encuentra nada. Tras un tiempo, comienzas a dudar - 縫uede que te hayas equivocado con tus sospechas?;;;;;;;;x
EVTOPTA_RoI_247;似乎 [From.GetSheHe] 是无辜的.;Il me semble qu'[From.GetSheHe] n'a rien vol?du tout.;Es scheint, dass [From.GetSheHe] unschuldig ist.;;Parece que es inocente.;;;;;;;;x
EVTOPTB_RoI_247;不, [From.GetSheHe] 一定有罪-杀了 [From.GetHerHim]!;Non, [From.GetSheHe] est certainement coupable, qu'on l'ex閏ute?;Nein, [From.GetSheHe] muss schuldig sein - veranlasst die Hinrichtung!;;No, debe ser culpable. cabad con [From.GetSheHe]!;;;;;;;;x
thugs_rampant;神秘的失踪...;D'閠ranges disparitions...;Seltsames Verschwinden?;Extra馻s desapariciones...;;;;;;;;x
EVTDESC_RoI_147;我的 [Root.GetLordLady],  [From.GetName]内发生了奇怪的事情. 大路上的旅人和商队都不见了,这不像是强盗或者疾病导致的.;M[Root.GetHerHis][Root.GetLordLady], une myst閞ieuse 閜id閙ie ravage notre province de [From.GetName]. De nombreux voyageurs et de nombreuses caravanes ont disparu, et les possibilit閟 de vols, d'accidents et de maladie ne suffisent pas ?expliquer cela.;Oh [Root.GetLordLady], in [From.GetName] gibt es eine unheimliche Plage. Viele Reisende und Karawanen sind verschwunden, weitaus mehr, als normalerweise der R鋟berei, Unf鋖len und Krankheiten zum Opfer fallen sollten.;;Mi [Root.GetLordLady], hay una misteriosa plaga en nuestra provincia de [From.GetName]. Muchos viajeros y caravanas han desaparecido, muchos m醩 de los que suelen ser v韈tima de robos, accidentes y enfermedades.;;;;;;;;x
EVTOPTA_RoI_147;我们需要调查.;Nous devons enqu阾er.;Das sollten wir untersuchen.;;Debemos investigar.;;;;;;;;x
EVTOPTB_RoI_147;这与我无关.;Les souffrances du peuple ne sont rien pour moi.;Das Leid der Gemeinen interessiert mich nicht.;;Los sufrimientos de los comunes no me importan.;;;;;;;;x
EVTDESC_RoI_148;派出去调查神秘失踪事件的手下似乎也没了消息.;Les agents que nous avons envoy閟 sur place pour enqu阾er sur cette menace inconnue qui plane sur les routes ont disparu sans laisser de traces. Cela fait des mois qu'ils n'ont pas donn?de nouvelles.;Die Spione, die wir aussandten, um die unbekannte Gefahr auf den Stra遝n zu untersuchen, sind spurlos verschwunden. Wir haben seit Monaten nichts von ihnen geh鰎t.;;Los agentes que enviamos a investigar la amenaza desconocida han desaparecido sin dejar rastro. No hemos sabido nada de ellos en meses.;;;;;;;;x
EVTOPTA_RoI_148;我们必须继续调查.派出我的军队.;Nous devons poursuivre nos recherches. Cette fois, envoyez des groupes plus importants et arm閟.;Wir m黶sen mit unseren Untersuchungen fortfahren. Schickt gr鲞ere, bewaffnete Gruppen.;;Debemos continuar nuestras investigaciones. Pero enviad partidas armadas y mayores.;;;;;;;;x
EVTOPTB_RoI_148;把那里的农民找来,不说出实情就烧了房子,吊死他们.;Br鹟ez les fermes et pendez les paysans jusqu'?ce la v閞it?sorte.;Brennt H鰂e nieder und h鋘gt die Bauern, bis die Wahrheit ans Licht kommt.;;Quemad las granjas y colgad campesinos hasta que se desvele la verdad.;;;;;;;;x
EVTOPTC_RoI_148;放弃吧,似乎没可能找出真相.;Oubliez cela, c'est clairement une impasse.;Gebt auf, das ist hoffnungslos.;;Abandonad, es ciertamente in鷗il.;;;;;;;;x
EVTDESC_RoI_149;我们的恐吓卓有成效,尊敬的my [Root.GetLordLady], 现在那里的农民都被吓傻了. 但是还没有找到关于失踪的真相仍然没有头绪.看来农民的确不清楚情况.;Nous avons r閜andu la terreur et le malheur dans nos terres, M[Root.GetHerHis][Root.GetLordLady], et les paysans ne sont pas suffisamment intimid閟. Cependant, on n'a pas constat?de nouvelles disparitions. Apr鑣 tout, il semble que les paysans n'閠aient au courant de rien.;Wir haben Angst und Schrecken verbreitet und die Bauern sind angemessen verschreckt. Doch es gibt keine neuen Informationen 黚er die Verschwundenen. Scheint, dass die Bauern wirklich nichts dar黚er wissen.;;Hemos sembrado el terror y la pena en el campo, mi [Root.GetLordLady], y tus campesinos parecen suficientemente amansados. Pero no hay m醩 informaci髇 acerca de las misteriosas desapariciones. Parece que los campesinos no sab韆n nada al respecto.;;;;;;;;x
EVTOPTA_RoI_149;给他们些补偿.我们试试其他办法.;Payons-leur une compensation. Essayons une autre strat間ie.;Bezahlt ein wenig Wiedergutmachung. Wir probieren etwas anderes.;;Pagadles en compensaci髇. Debemos intentar otra t醕tica.;;;;;;;;x
EVTOPTB_RoI_149;那里没有人是无辜的.他们吃些苦是应该的.;Personne n'est totalement innocent. Non, oublions toute cette histoire.;Niemand ist unschuldig. Vergesst die Angelegenheit.;;Nadie es completamente inocente. Olvidemos este asunto.;;;;;;;;x
EVTDESC_RoI_150;尊敬的 [Root.GetLordLady], 失踪仍在持续.或许我们该派出大军沿途巡逻?;M[Root.GetHerHis][Root.GetLordLady], des caravanes continuent de dispara顃re. Nous devrions peut-阾re envoyer d'importants groupes de soldats en 閏laireurs?;Oh [Root.GetLordLady], das Problem verschwindender Karawanen besteht weiter. Vielleicht sollten wir nach allem gro遝 Soldatengruppen aussenden?;;Mi [Root.GetLordLady], el problema de las caravanas que desaparecen contin鷄. 縌uiz醩 debi閞amos enviar grandes partidas de soldados a explorar?;;;;;;;;x
EVTOPTA_RoI_150;好,派出我的军队.;Tr鑣 bien, envoyez des cavaliers arm閟.;Sehr gut, entsendet bewaffnete Reiter.;;Muy bien, enviad jinetes armados.;;;;;;;;x
EVTOPTB_RoI_150;不,我们应该悬赏相关信息.;Non, nous proposerons une large r閏ompense contre toute information.;Nein, wir bieten viel Geld f黵 Informationen.;;No, ofreceremos una gran recompensa por la informaci髇.;;;;;;;;x
EVTDESC_RoI_151;一个年轻的旅人声称关于失踪事件他有重要的线索,不仅要求赏金,而且要同你单独会面.;Un jeune voyageur se pr閟ente et d閏lare qu'il poss鑔e des informations importantes au sujet de la disparition des caravanes. Il dit vouloir la r閏ompense mais demande ?vous voir en personne.;Ein junger Reisender ist vorgetreten und behauptet, er habe wichtige Informationen 黚er die verschwundenen Karavanen. Er sagt, er will die Belohnung in Gold, wird aber nur mit Euch sprechen.;;Un joven viajero ha llegado, afirma que tiene informaci髇 importante acerca de las desapariciones. Dice que quiere la recompensa, pero pide verte en persona.;;;;;;;;x
EVTOPTA_RoI_151;好,召他前来.;Tr鑣 bien, faites-le entrer.;Gut, gut, lasst ihn vor.;;Muy bien, lo admito.;;;;;;;;x
EVTNAME_RoI_152;不速之客......;Un visiteur...;Ein Besucher?;Un visitante...;;;;;;;;x
EVTDESC_RoI_152;年轻人走进王座室，小心翼翼的环顾四周。他抬起头，说他带来了好消息，然后将手伸进他的外套。他翻出......投掷刀！他扔向了你，喊到：'我们的母亲卡莉将收获属于她的东西!' [From.GetFullName] 反应并投掷 [From.GetHerselfHimself] 在你面前, 拯救你的生命，但牺牲 [From.GetHerHis] 他自己, 通过一把穿过心脏的刀。 奇怪的青年迅速逃离，跑过惊讶的守卫。;Le jeune homme entre dans la salle du tr鬾e en jetant des regards inquiets autour de lui. Il vous regarde et d閏lare que ses informations sont bonnes. Puis il passe la main dans l'int閞ieur de sa veste. Il en sort... Un couteau de lancer? Il le lance sur vous en hurlant 玁otre m鑢e Kali prendra ce qui est ?elle??[From.GetFullName] r閍git en se jetant devant vous? vous 阾es en vie mais [From.GetFullName] trouve la mort, un couteau plant?dans la poitrine. Le jeune homme prend la fuite en se faufilant parmi les gardes m閐us閟.;"Der junge Mann betritt sich misstrauisch umschauend den Thronsaal. Er schaut auf und meint, er bringe gute Informationen. Dann greift er in sein Gewand und zieht?ein Wurfmesser hervor! Er wirft es und schreit: ""Mutter Kali wird ernten, was ihr zusteht!""  [From.GetFullName] reagiert und wirft sich vor Euch, Euer Leben rettend, doch das [From.GetHerHis]e opfernd, mit einem Messer im Herzen. Der fremde J黱gling entkommt, als er zwischen den 黚erraschten Wachen hindurch rennt. ";;El joven entra en el sal髇 del trono, mirando a su alrededor con cautela. Mira y dice que trae informaci髇 veraz, busca en su chaqueta. aca... un cuchillo arrojadizo! Te lo lanza, gritando 'uestra Madre Kali obtendr?lo que es suyo!' [From.GetFullName] reacciona interponi閚dose y salvando tu vida, aunque perdiendo la suya, con un cuchillo en el coraz髇. El extra駉 joven escapa, corriendo entre los sorprendidos guardias.;;;;;;;;;;x
EVTOPTA_RoI_152;有刺客! [From.GetTitledFirstName]救我!;[From.GetTitledFirstName] a donn?sa vie pour moi?;[From.GetTitledFirstName]  hat mich vor dem Meuchelm鰎der gerettet!;;From.GetTitledFirstName] me ha salvado del asesino!;;;;;;;;x
EVTDESC_RoI_153;行刺事件后, 你与枢密院成员开了一个会. 他们都同意必须强硬对付这帮恶徒.;Un conseil est tenu apr鑣 la tentative d'assassinat. Vos conseillers sont tous d'accord pour dire que cette menace doit donner lieu ?une r閜onse forte.;Ein Rat wird nach dem Mordversuch abgehalten. Eure Berater stimmen darin 黚erein, dass der Bedrohung Einhalt geboten werden muss.;;Se celebra un consejo tras el intento de asesinato. Tus consejeros acuerdan que esta amenaza ha de gestionarse con fuerza.;;;;;;;;x
EVTOPTA_RoI_153;好, 出兵吧.;Oui, envoyez les troupes.;Ja, entsendet die Truppen.;;S? enviad las tropas.;;;;;;;;x
EVTOPTB_RoI_153;不行, 这太危险了. 由他去吧.;Non, c'est trop dangereux. Restons-en l?;Nein, zu gef鋒rlich. Lasst es sein.;;No, es muy peligroso. D閖alo estar.;;;;;;;;x
EVTDESC_RoI_155;你的手下至今还没有查出任何线索, 不过, 至少商队在他们的保护下得以安全来往境内. 然而, 他们发现短途商旅从来不会受到同类的袭击, 只有长途商旅会遇袭. 这事不简单......;Vos cavaliers n'ont toujours trouv?aucun indice concernant les attaques. Au moins, les caravanes qu'ils escortent sont en s閏urit? Vous avez 間alement remarqu?que les caravanes qui effectuent de courts trajets semble ne jamais 阾re attaqu閑s, seulement celles qui parcourent de longues routes. 蓆range.;Eure Reiter waren noch immer nicht f鋒ig, irgendwelche Hinweise zu den Angriffen zu finden. Doch zumindest sind die Karawanen sicher. Zudem wurde bemerkt, dass Karawanen, die kurze Strecken zur點klegten, niemals auf diese Weise angegriffen wurden, nur die, die lange Wege zur點klegten. Seltsam!;;Tus jinetes siguen sin encontrar pistas sobre los ataques, aunque al menos la caravana que han escoltado est?a salvo. Tambi閚 se han dado cuenta de que las caravanas de corto recorrido no son atacadas, s髄o las de larga distancia. Extra駉.;;;;;;;;x
EVTOPTA_RoI_155;增派部队保护长途商旅.;Escortons toutes les caravanes qui font un long trajet.;Versorgt alle entsprechenden Karawanenen mit milit鋜ischer Begleitung!;;Proporcionad escolta militar a todas las caravanas de largo recorrido de la provincia.;;;;;;;;x
EVTOPTB_RoI_155;放弃吧, 花费实在太大了.;Ne faisons rien, cela demanderait trop de ressources.;Lasst es, das nimmt zu viele Ressourcen in Anspruch.;;Abandonad, consume demasiados recursos.;;;;;;;;x
EVTDESC_RoI_156;你派兵保护途经[From.GetName]的长途行商已经好几个月了, 现在已没有商队失踪的案件发生, 行商与旅行终于可以松一口气. 但是, 你仍一直苦恼着, 因为你已经没法知道到底谁是幕后黑手. 可是, 最近风传在邻近的地区, 发生越来越多商队失踪事件......;Plusieurs mois ont pass?depuis votre ordre d'escorter toutes les caravanes qui font un long trajet dans la province de [From.GetName]. Pendant cette p閞iode, aucune caravane n'a disparu. Les voyageurs et les marchands peuvent ?nouveau respirer. Mais vous ne savez toujours pas qui est ?l'origine de ces attaques, et cela vous perturbe. Des bruits courent au sujet d'un nombre croissant de disparitions de caravanes dans plusieurs provinces voisines...;Einige Monate sind vergangen, seitdem Ihr die Karawanen in der Provinz von [From.GetName] mit gro遝n Milit鋜trupps habt sch黷zen lassen. In diesem Zeitraum sind keine weiteren Karawanen verschwunden. Reisende und H鋘dler k鰊nen nun endlich durchatmen. Noch immer st鰎t es Euch, dass Ihr wohl niemals wissen werdet, wer daf黵 verantwortlich war. Es gibt aber Ger點hte 黚er verschwindene Karawanen in anderen Provinzen...;;Han pasado meses desde que ordenaste escoltar todas las caravanas de larga distancia en la provincia de [From.GetName] En este tiempo, no han desaparecido caravanas. Los viajeros y mercaderes vuelven a respirar aliviados. Todav韆 te fastidia que nunca sabr醩 qui閚 lo hizo. Aunque hay rumores de un n鷐ero creciente de caravanas desaparecidas en las provincias lim韙rofes.;;;;;;;;x
EVTOPTA_RoI_156;反正我都管不着了.;Ce n'est plus mon probl鑝e.;Das ist nicht l鋘ger mein Problem?;Ya no es mi problema.;;;;;;;;x
